,name,description,created_at,text,location,retweeted,owner_name,owner_location,owner_created_at,retweeted_count
49,Marcelo Santos,"Carioca, flamenguista, salgueirense, Operador do Direito, esquerdopata convicto, tenho um fusca e um violão.",Mon Feb 01 14:06:05 +0000 2021,RT @GuilhermeBoulos: Atraso em vacinação contra Covid deve custar pelo menos R$ 150 bi ao PIB brasileiro em 2021. Segundo cálculo da consul…,,True,Guilherme Boulos,,Mon Feb 01 12:39:49 +0000 2021,643
50,thread no fix 📌,"𝑳𝒆𝒕𝒔 𝒘𝒂𝒍𝒌 𝒔𝒍𝒐𝒘𝒍𝒚 𝒆𝒏𝒋𝒐𝒚𝒊𝒏𝒈 𝒆𝒗𝒆𝒓𝒚  𝒔𝒕𝒆𝒑 𝒐𝒇 𝒕𝒉𝒆 𝒋𝒐𝒖𝒓𝒏𝒆𝒚 
･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆ ･ . ⋆",Mon Feb 01 14:06:05 +0000 2021,"RT @ubesoficial: Tema da redação do #EnemDigital: ""O desafio de reduzir as desigualdades entre as regiões do Brasil""

Esse tema parece até…",Neocity,True,União Brasileira dos Estudantes Secundaristas,Brasil,Mon Feb 01 14:01:18 +0000 2021,3
51,Telmo A Fernandes,"I believe in liberty, autonomy and uniqueness of the individual. Free choice; free will; free trade.",Mon Feb 01 14:06:06 +0000 2021,"É preciso salvar o Natal de 2021.
https://t.co/gBk52Pt3hf",,False,,,,
52,Jeferson,"CRISTÃO, REFORMADO E CONSERVADOR",Mon Feb 01 14:06:08 +0000 2021,RT @RickSardella38: E ainda fizeram carreata pedindo vacina. Por isso caem em descrédito. A esquerda está derretendo. https://t.co/i3zqCdrN…,,True,Rick Sardella 🇧🇷🇺🇸🇮🇱,Brasil,Mon Feb 01 13:05:17 +0000 2021,6
53,Canal S+,"O S+ é um canal temático de saúde e bem-estar vocacionado para quem trabalha e se interessa pela saúde. 
Canal 129 NOS e MEO, canal 128 Vodafone Portugal",Mon Feb 01 14:06:09 +0000 2021,O vice-provedor da Misericórdia de #Valença apontou hoje o reinício do processo de #vacinação de 115 utentes e func… https://t.co/9395elVy0U,"Lisboa, Portugal",False,,,,
54,Marry4142,Brasileira 🇧🇷🇺🇸🇳🇮👊🤖,Mon Feb 01 14:06:10 +0000 2021,"RT @DaniloGentili: Sr prefeito @brunocovas e governador @jdoriajr me ajuda a entender isso, porque eu juro que não faz sentido (pra mim pel…",,True,Danilo Gentili,Santo André,Sun Jan 31 01:37:48 +0000 2021,4780
55,Carmem Araujo dos santos,,Mon Feb 01 14:06:12 +0000 2021,RT @rodrigo_rangel: Quantas doses de vacina daria para comprar com a dinheirama que o Planalto está despejando para eleger seus preferidos…,,True,Rodrigo Rangel,"Brasília-DF, Brasil",Mon Feb 01 13:29:13 +0000 2021,19
56,Ícaro Henrique,Cristão. Fundador do @MidiaInsurgere.,Mon Feb 01 14:06:12 +0000 2021,"Como discutir os avanços autoritários na época em que vivemos? Lockdown, monitoramento da população, quebra da priv… https://t.co/flobN3jEHO","Salvador, Brasil",False,,,,
57,Luiz Sansone,,Mon Feb 01 14:06:12 +0000 2021,"RT @RafaelFontana: Eslováquia autoriza o uso de Ivermectina para o tratamento da gripe chinesa COVlD.
https://t.co/HgV58x0GtY","São Paulo, Brasil",True,Rafael Fontana,Brazil,Mon Feb 01 13:30:15 +0000 2021,63
58,SIC Notícias,"O como e o porquê das notícias de #últimahora, a análise e a #opinião que interessa. Siga #portugal e o mundo com a #SICNoticias",Mon Feb 01 14:06:14 +0000 2021,Aeroporto de Lisboa com muita afluência quando as viagens para o estrangeiro estão limitadas https://t.co/wP5ygYg8af,"Carnaxide, Portugal",False,,,,
59,Ricardo.Matos50,"Falo minhas verdades, sai-me da boca aos pedaços como uma cocha de trapos: o obvio, o saber sincero. Se o douto, me quer subserviente... Cuspo-lhe na cara!",Mon Feb 01 14:06:14 +0000 2021,"RT @AlessandroPT89: Um quarto de milhão de mortes por covid-19 no país,e tem gente discutindo BBB...
Tá explicado o nosso fracasso...","Salvador, Bahia, BR.",True,Alê Guimarães 🇧🇷🚩,"Rio de Janeiro, Brasil",Mon Feb 01 14:01:37 +0000 2021,2
60,Ícaro Henrique,Cristão. Fundador do @MidiaInsurgere.,Mon Feb 01 14:06:15 +0000 2021,"RT @MidiaInsurgere: Vírus perigosos assolaram a humanidade em 2020, o Sars-Cov-2 e o autoritarismo. O isolacionismo da pandemia é uma de su…","Salvador, Brasil",True,Insurgere!,,Mon Feb 01 14:00:02 +0000 2021,2
61,Heloísa Chioato,,Mon Feb 01 14:06:16 +0000 2021,RT @GuilhermeBoulos: Atraso em vacinação contra Covid deve custar pelo menos R$ 150 bi ao PIB brasileiro em 2021. Segundo cálculo da consul…,,True,Guilherme Boulos,,Mon Feb 01 12:39:49 +0000 2021,644
62,LÉOcomotiva,menino em situação de barril,Mon Feb 01 14:06:17 +0000 2021,"RT @Danithesouza: gays brancos querendo tirar o Rodolfo pq ele votou no Bolsonaro: 😡👿☠️🇧🇷🚫

gays brancos sobre o estado genocida de Israel…",,True,PCBoomer 🌎,,Mon Feb 01 14:02:25 +0000 2021,8
63,joao,atleta querendo se aposentar,Mon Feb 01 14:06:17 +0000 2021,QUASE LEVEI UM SUSTO,,False,,,,
64,"Marcus Franca, MD",,Mon Feb 01 14:06:21 +0000 2021,@Filipioliveir20 @folha_poder Melhor do que nada. São vidas de brasileiros em jogo. Bolsonaro sabota a vacinação em… https://t.co/KI6Ry6QR0i,Rio de Janeiro,False,,,,
65,mamaluce,,Mon Feb 01 14:06:21 +0000 2021,e eu q escovei o cabelo p tomar a vacina hj só um pouco ansiosa p o evento bom dia amadas https://t.co/5XdbDMFAEy,"Campinas, São Paulo",False,,,,
66,Harlo Amorim,Vem Espírito Santo,Mon Feb 01 14:06:25 +0000 2021,"RT @Gusttra: Texto excelente, da nossa amiga, Dra. Márcia Broccart!
Tudo que não te falaram sobre esse tipo de vacina!
Parabéns @MBroccart!…",,True,🇧🇷 GUSTAVO - #SOUJBEACABOU.,"Rio de Janeiro, Brasil",Thu Jan 28 23:43:36 +0000 2021,57
67,Mariana,,Mon Feb 01 14:06:26 +0000 2021,"RT @queridonanemae: O uso emergencial da vacina acaba de ser aprovado no Brasil

Eu: https://t.co/LtTD1fq47U",,True,queridona ne mãe,,Sun Jan 17 20:56:55 +0000 2021,368
68,Mariane Vas,Analista de economia & mercados do @Gorilainvest,Mon Feb 01 14:06:27 +0000 2021,RT @gorilainvest: #Bolsonaro diz que tem R$ 20 bi para comprar #SputnikV e só espera aprovação da #Anvisa. #Doria afirmou que insumos para…,,True,Gorila,"São Paulo, Brasil",Mon Feb 01 13:40:00 +0000 2021,1
69,andriza,not wearing glasses anymore. i’ve seen enough.,Mon Feb 01 14:06:28 +0000 2021,eu to? o pessoal dizendo que o rodolffo nao foi homofóbico por maldade e que ele só tem opiniões diferentes o cara… https://t.co/debcjVJISk,,False,,,,
70,Deja Jr,"""Há palavras que atravessam tempos.
Não pelo que significam, em si mesmas.
Mas pelo que produziram em nós, quando foram ditas.""
Louise Madeira",Mon Feb 01 14:06:29 +0000 2021,"Boa notícia!
Foram tantos vinhos em 2020 que certamente não vou precisar da vacina!
Viva os TANINOS!",Brasil - Curitiba - PR,False,,,,
71,Nat,"De Belém. Do Remo. E do Direito. (CONTA NOVA, a outra foi denunciada rs)",Mon Feb 01 14:06:30 +0000 2021,Erradas não estão,"Ananindeua, Brasil",False,,,,
72,Aletheia,"Esquerdista, Feminista e Antifascista. Falo verdades.",Mon Feb 01 14:06:32 +0000 2021,RT @thiagoavilabr: Distopia frustrante: se todo parlamentar progressista abandonasse seu pragmatismo que fracassou e votasse para a presidê…,,True,Thiago Ávila,Brasil,Mon Feb 01 13:01:09 +0000 2021,55
73,͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏͏,fan account,Mon Feb 01 14:06:32 +0000 2021,"@forumpandlr e esse bolsominion anti vacina que acredita em racismo reverso que vocês gostam 

https://t.co/aZTqqdZJGV",,False,,,,
74,Johnny Bravo - CONTRA COMUNISTA,"ESTOU PRONTO PARA DESFAZER FARSAS DE GENTE CÍNICA E MENTIROSA.
                      PATRIOTA - BRASILEIRO - DE DIREITA.",Mon Feb 01 14:06:32 +0000 2021,"RT @OsmarTerra: João Paulo. O que acontece em Manaus foi o surgimento de uma cepa do coronavirus com mais capacidade de infectar, a P1. Com…",,True,Osmar Terra,Porto Alegre,Mon Feb 01 14:03:01 +0000 2021,12
75,my name is GERMAN BOLD ITALIC,Gut ja!,Mon Feb 01 14:06:36 +0000 2021,RT @GuilhermeBoulos: Atraso em vacinação contra Covid deve custar pelo menos R$ 150 bi ao PIB brasileiro em 2021. Segundo cálculo da consul…,,True,Guilherme Boulos,,Mon Feb 01 12:39:49 +0000 2021,646
76,Roseli Cerione,,Mon Feb 01 14:06:38 +0000 2021,"RT @gilsonmachadont: Em 36 horas,conseguimos entregar a vacina em 27 estados e mais de 5000 municípios.
 Parabéns ao Ministro Pazuello!!",Brasil,True,Gilson Machado Neto,,Sun Jan 31 09:46:30 +0000 2021,3643
77,Abmsonia@yahoo.com,,Mon Feb 01 14:06:38 +0000 2021,"RT @MubarakLuiza: STF é o único no mundo que entende medicina, economia, vacina, eleições. A única coisa que eles não entendem é Justiça!",", Porto Alegre",True,Luiza Mubarak 🌸🌼👉,,Sun Jan 31 21:34:53 +0000 2021,1072
78,Lore 🍰|| 📖: Império de Tempestades,"#Rhys: To the stars who listen and the dreams that are answered 💫 •
Slytherin 💚 • Bookstan
6/60 📚",Mon Feb 01 14:06:39 +0000 2021,Meu pai já pode tomar a vacina e não quer pq tem que ficar 42 dias sem beber 😂😂😂😂😂,ela/dela,False,,,,
79,Lânguido,,Mon Feb 01 14:06:40 +0000 2021,"RT @MBittencourtMD: Se continuarmos no ritmo do melhor dia até hoje a vacinação completa levaria + de 5 anos.
Para vacinar 70% dos brasilei…",,True,Marcio S Bittencourt,Brazil,Mon Feb 01 12:35:56 +0000 2021,50
80,Prince 🇪🇺,"Europeísta federalista🇪🇺
Eco-Socialismo aka Social-Democracia Europeia🌹 Modelo ambientalista nórdico. #EuropeanGreenDeal🌱
My kingdom is not from this world!",Mon Feb 01 14:06:40 +0000 2021,"@FilipeCmachado @DGSaude É este o formulário que precisas. Penso...
https://t.co/TQEXVcsS4n",No Eucaliptugal de AssCristas,False,,,,
81,lui,"grande gostosa em potencial |
exímia contadora de causos |
sommelier de retweet

▪️ a/ela/a ▪️ e/ela/e ▪️ she/they ▪️",Mon Feb 01 14:06:41 +0000 2021,"RT @opinioso: Mercado, para quem não liga nome à pessoa, é uma mistura de especuladores da bolsa, banqueiros, gente que explora day trader…",,True,Janot Temporariamente Caseiro,,Mon Feb 01 13:50:19 +0000 2021,29
82,C MenesesOliveira.pt,Médico Intensivista,Mon Feb 01 14:06:42 +0000 2021,"RT @al_antdp: O PVEC, processo de vacinação em curso, está uma selva https://t.co/L1hKvpGfws",Lisboa,True,A N Leite™️,"Aveiro, Portugal",Mon Feb 01 13:04:36 +0000 2021,2
83,Marcelo Santos,"Carioca, flamenguista, salgueirense, Operador do Direito, esquerdopata convicto, tenho um fusca e um violão.",Mon Feb 01 14:06:42 +0000 2021,"RT @r_camilotti: Usar 3 bilhões para comprar vacina, ou usar 3 bilhões para comprar deputados? O que vs acham que o Bozo escolheu?",,True,Aí que horror 🤷🏿‍♀️,"Curitiba, Brasil",Mon Feb 01 14:01:18 +0000 2021,4
84,Lójico,TRUE COLORS,Mon Feb 01 14:06:42 +0000 2021,Pa agora só faltava mm darem a vacina ao Diogo Faro,,False,,,,
85,Ryuudan Impact,"Ryuudan
Ele/Dele",Mon Feb 01 14:06:42 +0000 2021,RT @GuilhermeBoulos: Atraso em vacinação contra Covid deve custar pelo menos R$ 150 bi ao PIB brasileiro em 2021. Segundo cálculo da consul…,Brasília,True,Guilherme Boulos,,Mon Feb 01 12:39:49 +0000 2021,647
86,irenilda Nunes 🇧🇷🇧🇷,DEUS ACIMA DE TUDO!,Mon Feb 01 14:06:42 +0000 2021,"RT @CarlaZambelli38: Duas ótimas notícias neste sábado:

1. Consórcio Covax anuncia envio ao Brasil de pelo menos 10 milhões de doses da va…",,True,Carla Zambelli,"São Paulo, Brasil",Sun Jan 31 06:30:07 +0000 2021,662
87,Alberto Silva 🇵🇹,"Chairman/Founder and Ceo
Investment Funds Real Estate and Renewable Energies.                      
                      Europa - África - Médio Oriente - Ásia",Mon Feb 01 14:06:43 +0000 2021,"Vacinar pessoas sem prioridade é crime e a pena pode chegar aos 8 anos de prisão.

E existem lugares nas prisões pa… https://t.co/tuXtZGRuEY","Porto, Portugal",False,,,,
88,Marcos José dos Nascimento Mjsn,SERENIDADE,Mon Feb 01 14:06:43 +0000 2021,"RT @joicehasselmann: Ministro Fux, ao lado de @jairbolsonaro (c/máscara):

“Não tenho dúvidas de que a ciência, que agora conta com a tão a…",,True,Joice Hasselmann,"Sao Paulo, Brazil",Mon Feb 01 13:58:47 +0000 2021,3
89,Jéssica Moura,,Mon Feb 01 14:06:44 +0000 2021,"@orobherrera Vem Tontommm, vem vacina","São Paulo, Brasil",False,,,,
90,tati Rodrigues®️🇧🇷,Não confunda discurso de ódio com verdades que você odeia!,Mon Feb 01 14:06:45 +0000 2021,RT @brunaobarreto3: Tomou vacina e pegou o vírus chinês? Isso é culpa da nova cepa brasileira que foi desenvolvida porque o povo não respei…,,True,Brunão,,Mon Feb 01 10:30:48 +0000 2021,575
91,Znine 🇧🇷 🇺🇸,"...e que nunca envergonhemos nossa Fé, nossas famílias ou nossos camaradas. C4V31RA! 🗡️💀",Mon Feb 01 14:06:47 +0000 2021,RT @francoal10: Mais uma idosa morta depois de tomar a vacina... https://t.co/7huzbk0WXD,,True,Josiano Costa,,Mon Feb 01 13:45:58 +0000 2021,4
92,Ana Cristina Penna🇧🇷👍,"🇧🇷🇮🇱🇺🇸Ñ discuto com extrema-esquerda. Sou professora e ñ psiquiatra. Então, ñ perca seu tempo comentando meus posts, pq apenas dou block. 😘#OBrasilQuerRe",Mon Feb 01 14:06:48 +0000 2021,"RT @nelsonpaffi: E os puxa-sacos do governador insistindo que a notícia de recusa de entrega da vacina para Bauru é fake news.
A verdade dó…",,True,Nelson Paffi,"São Paulo, Brasil",Mon Feb 01 09:55:45 +0000 2021,123
93,Marcelo Santos,"Carioca, flamenguista, salgueirense, Operador do Direito, esquerdopata convicto, tenho um fusca e um violão.",Mon Feb 01 14:06:48 +0000 2021,RT @leoribeiro1980: 3 Bilhões de emendas parlamentares pagam quantos auxílios emergenciais ou doses de vacina? Somos um país de cordeirinho…,,True,Leonardo Ribeiro 🔴⚫️🚩🚩,"Rio de Janeiro, Brasil",Mon Feb 01 10:47:26 +0000 2021,15
94,Claudio Oliveira,Menos Estado e mais liberdade.,Mon Feb 01 14:06:49 +0000 2021,@THS_Cafe Coitados... Vai ver que tomaram a vacina chinesa.,Rio de Janeiro,False,,,,
95,Sergio Di Fiore 🇧🇷🇮🇹🇪🇺,"In English, Português ed Italiano... Prof. de Matemática Financeira, piloto, programador diletante... Descobrindo Inteligência Artificial... Google the rest",Mon Feb 01 14:06:49 +0000 2021,"O nó logística...
Efeitos da covid-19 fazem custo de frete para a China disparar @estadao:  https://t.co/3UIeARh7gz","Sao Paulo, Brazil",False,,,,
96,Mario Moreira,,Mon Feb 01 14:06:50 +0000 2021,"RT @JornalOGlobo: Vacina: nascida durante a gripe espanhola, idosa centenária recebe 1ª dose contra Covid-19 na Gávea https://t.co/EDM0cns8…",,True,Jornal O Globo,,Mon Feb 01 13:30:32 +0000 2021,10
97,Emmily Farias,,Mon Feb 01 14:06:50 +0000 2021,Que dia felizzzzz! O coração ficou quentinho ao receber vacina! #imunizadah,,False,,,,
98,diniz450,sou de Direita Bolsonaro 38 aliança pelo Brasil sigo todos que são Bolsonaro,Mon Feb 01 14:06:51 +0000 2021,"RT @MubarakLuiza: STF é o único no mundo que entende medicina, economia, vacina, eleições. A única coisa que eles não entendem é Justiça!",,True,Luiza Mubarak 🌸🌼👉,,Sun Jan 31 21:34:53 +0000 2021,1073
99,Träsel,"Professor de Jornalismo na Fabico/UFRGS e pesquisador no PPGCOM/UFRGS. Presidente da ABRAJI 2020-21. 

E se não for por escrito, eu não me animo a dizer.",Mon Feb 01 14:06:53 +0000 2021,"RT @carapanarana: ""O farmacêutico que intencionalmente sabotou centenas de doses da vacina Moderna porque pensava que COVID-19 era uma fars…","Porto Alegre, Brasil",True,Carapanã,,Sun Jan 31 20:12:45 +0000 2021,420
100,Ademir Pereira🚩🚩🚩🚩🚩🚩,,Mon Feb 01 14:06:53 +0000 2021,"RT @padilhando: Ainda maior do que o superfaturamento do leite condensado, tem sido o leilão feito por Bolsonaro na compra para ganhar a pr…","Rio de Janeiro, Brasil",True,Alexandre Padilha,São Paulo/ SP,Mon Feb 01 12:50:46 +0000 2021,32
101,glaucio de souza,"...Más sabe el diablo por viejo que por diablo...  ...It ain't over till the fat lady sings...
http://facebook.com/BlackBastardCr…",Mon Feb 01 14:06:54 +0000 2021,"RT @dogarrett: Mais uma vacina para engrossar as fileiras:
CanSino (Adenovirus 5) diz que atingiu o critério de eficácia e vai liberar dado…",nikity_florida_floripa,True,"Denise Garrett, MD - VACINA JÁ 💉","Washington, DC",Mon Feb 01 12:16:38 +0000 2021,32
102,Leanpyz,,Mon Feb 01 14:06:54 +0000 2021,"RT @AlanLopesRio: O bom de você se posicionar sobre temas polêmicos, é que a separação entre o joio e o trigo é imediata! Reafirmo meu posi…","São Paulo, Brasil",True,Alan Lopes,,Mon Feb 01 00:03:44 +0000 2021,1130
103,bebelbbb,"Esquerda sempre. Eu não sou pobre, eu sou sóbria, de bagagem leve. Vivo com apenas o suficiente para que as coisas não roubem a minha liberdade. José  Mujica.",Mon Feb 01 14:06:54 +0000 2021,"RT @r_camilotti: Usar 3 bilhões para comprar vacina, ou usar 3 bilhões para comprar deputados? O que vs acham que o Bozo escolheu?",Sao Paulo,True,Aí que horror 🤷🏿‍♀️,"Curitiba, Brasil",Mon Feb 01 14:01:18 +0000 2021,5
104,rompompompom mendau,sassy b*tch,Mon Feb 01 14:06:56 +0000 2021,"@Yannx51 @RomanoCidadao @MariaClarajko @folha Mas não graças ao presidente, que inclusive disse ""apesar da vacina n… https://t.co/fxvzzqKcHj",,False,,,,
105,João Pedro Bastos,"Geographer, GIS & Creative Urbanist",Mon Feb 01 14:06:57 +0000 2021,@partTimeZealot Ou declarava a covid19 ilegal...,Albergaria-a-Velha,False,,,,
106,patricinha desgraçada,"😳🤳diário virtual

https://youtu.be/LFE7ZFsDQjk",Mon Feb 01 14:06:59 +0000 2021,A única gay que não fica feliz tomando vacina :((((  amo a @V1T1 https://t.co/a8yZKX3fhh,"Bahia, Brasil",False,,,,
107,CVR Enfermería CCOO,,Mon Feb 01 14:07:00 +0000 2021,"RT @fssccoo: 👉🏼 CCOO denuncia incumprimento do plan de vacinación fronte á covid-19 por parte dalgunhas xerencias das áreas de saúde

https…",,True,FSS-CCOO,,Sun Jan 31 19:09:00 +0000 2021,1
108,Camarada Paulo Franco,,Mon Feb 01 14:07:00 +0000 2021,@bossito @j_esanto @SNS_Portugal @saude_pt @ECDC_EU @OurWorldInData Tens tido informação diária em várias plataform… https://t.co/vGOorU6aIA,,False,,,,
109,USP,USP - Universidade de São Paulo,Mon Feb 01 14:07:00 +0000 2021,"Desde 2020, a @fmrpusp e seu Hospital das Clínicas enfrentam a emergência da pandemia com atendimento de referência… https://t.co/Dzad13lLoP",São Paulo - SP - Brasil,False,,,,
110,ACI Digital,"O que todo católico necessita saber.
Um serviço da @EWTNews",Mon Feb 01 14:07:02 +0000 2021,Museus Vaticanos reabrem suas portas após 88 dias fechados por causa da Covid-19 https://t.co/jPwKDqtm9E,Brasil,False,,,,
111,Antena Minho,"A Antena Minho garante a produção de serviços noticiosos com a actualidade regional,",Mon Feb 01 14:07:04 +0000 2021,"Hospital em Famalicão nega ""qualquer fraude"" na vacinação contra covid-19
https://t.co/bZnJaSGN8g","Braga, Portugal",False,,,,
112,aaquariana,♒️,Mon Feb 01 14:07:04 +0000 2021,RT @midiamaxnews: Vacinação começa nesta segunda-feira para idosos a partir de 99 anos em Campo Grande https://t.co/a2COHsqSU0,,True,midiamax,Campo Grande,Mon Feb 01 11:47:40 +0000 2021,1
113,Tania de Martino Salim,,Mon Feb 01 14:07:05 +0000 2021,"@senadorhumberto Urge lutar por vacina, auxílio emergencial  e... LULA!",,False,,,,
114,RobertoOliveira,"Cuitindo uma quarentena , com trombose, de perna p/ ar esperando a morte chegar que ninguém é de ferro , pra aguentar mais 1 ano dendicasa foi quase ,sobrevivi",Mon Feb 01 14:07:06 +0000 2021,RT @Roberto62027328: @CNNBrasil Quase morri de tanto rir do ancora CNN tentando defender os deuses do Olimpo. da falacia do coronavirus e c…,,True,RobertoOliveira,,Mon Feb 01 14:05:39 +0000 2021,1
